Tarih,Saat,Enlem(N),Boylam(E),Derinlik(km),ML
2024.03.31,03:13:22.02,38.6047,37.4565,2.5,1.4
2024.03.31,02:57:57.56,38.4373,37.3918,5.0,1.6
2024.03.31,02:42:57.25,40.4168,28.83,10.0,1.8
2024.03.31,02:40:30.22,38.8527,37.4933,14.6,1.2
2024.03.31,02:33:05.52,38.8142,37.4778,5.0,2.9
2024.03.31,02:17:57.44,38.1055,37.6063,7.8,1.4
2024.03.31,02:14:14.46,39.366,39.034,5.2,2.1
2024.03.31,02:11:45.18,36.1272,36.067,5.0,1.7
2024.03.31,02:09:51.27,38.8195,37.4662,5.2,1.7
2024.03.31,01:50:52.21,39.3603,39.0483,5.1,2.6
2024.03.31,01:44:33.75,38.5358,40.3368,5.5,1.8
2024.03.31,01:35:24.66,37.4917,37.0498,6.3,1.9
2024.03.31,01:28:15.60,35.2973,27.9528,18.2,2.2
2024.03.31,01:23:49.43,39.4798,27.9272,8.9,1.3
2024.03.31,01:20:33.05,38.8192,37.4867,6.7,1.8
2024.03.31,01:20:18.38,36.0787,36.029,6.7,1.4
2024.03.31,01:14:07.47,38.5508,39.4402,14.2,1.6
2024.03.31,00:58:07.47,37.4867,37.0242,5.5,1.8
2024.03.31,00:30:29.41,40.285,27.451,11.5,1.8
2024.03.31,00:05:36.68,37.7375,36.5888,7.5,1.2
2024.03.30,23:59:54.67,38.096,39.249,5.6,2.4
2024.03.30,23:54:03.48,39.6058,28.17,8.3,1.6
2024.03.30,23:33:12.17,37.8852,36.7285,14.1,1.3
2024.03.30,23:29:08.32,36.1905,28.6455,29.1,1.5
2024.03.30,23:25:40.86,39.2197,40.2407,7.7,2.2
2024.03.30,23:22:14.90,36.0342,27.2292,5.1,2.2
2024.03.30,23:17:39.39,37.2958,37.159,6.0,1.4
2024.03.30,23:09:24.45,37.358,37.1075,5.7,2.2
2024.03.30,22:55:01.99,38.3493,37.3893,7.3,1.2
2024.03.30,22:52:30.81,40.7115,31.55,9.4,1.7
2024.03.30,22:32:24.37,37.9428,36.7733,5.4,1.2
2024.03.30,22:06:56.12,39.0753,40.7147,7.8,2.6
2024.03.30,21:32:16.14,35.7868,27.1925,7.7,2.2
2024.03.30,21:15:05.66,38.099,36.6355,10.2,1.2
2024.03.30,21:02:43.49,39.0975,40.2355,11.4,2.4
2024.03.30,19:52:29.73,35.3063,26.981,5.0,2.0
2024.03.30,19:50:26.01,38.329,27.1847,2.1,1.9
2024.03.30,19:24:32.51,35.2068,27.0162,11.8,2.2
2024.03.30,19:16:41.01,36.5225,36.2883,1.4,2.3
2024.03.30,18:03:23.20,37.168,36.932,6.1,1.4
2024.03.30,17:57:45.11,36.7895,35.6548,28.6,1.1
2024.03.30,17:56:05.27,37.0357,29.0452,5.1,1.1
2024.03.30,17:51:43.39,39.9182,32.601,6.9,1.6
2024.03.30,17:37:49.96,38.0268,27.1598,16.9,1.7
2024.03.30,17:14:38.51,37.3945,27.0065,11.7,1.6
2024.03.30,17:10:29.46,36.3233,35.9125,8.9,2.0
2024.03.30,17:08:08.47,37.8222,27.3833,17.1,1.0
2024.03.30,16:47:12.25,37.0468,29.0657,19.3,1.1
2024.03.30,16:09:38.23,37.1785,36.9245,5.0,2.7
2024.03.30,15:56:19.24,38.389,37.4027,8.9,2.0
2024.03.30,15:55:24.89,37.4188,44.0313,7.6,3.0
2024.03.30,14:35:40.88,36.5715,31.9032,3.3,1.4
2024.03.30,14:18:56.65,40.4473,28.9823,12.1,1.2
2024.03.30,13:08:17.81,37.1765,36.9445,5.4,2.7
2024.03.30,12:52:18.54,37.4842,26.815,8.4,3.0
2024.03.30,12:40:59.15,40.2207,31.705,10.0,2.6
2024.03.30,10:58:08.74,38.5435,36.1913,9.3,1.7
2024.03.30,10:28:09.97,39.3623,26.2893,4.5,1.8
2024.03.30,10:17:17.05,38.6145,27.6323,14.8,1.7
2024.03.30,10:03:17.63,37.2107,27.8818,0.0,1.6
2024.03.30,09:08:35.98,37.8905,30.4505,5.0,1.5
2024.03.30,08:07:51.11,38.4462,27.3207,17.3,1.3
2024.03.30,07:56:20.50,37.1858,37.2113,5.0,1.8
2024.03.30,06:04:28.47,37.0408,29.0243,9.5,2.1
2024.03.30,05:52:41.48,37.9268,28.8317,17.4,1.6
2024.03.30,05:09:38.65,35.6662,35.241,5.3,3.4
2024.03.30,04:52:22.89,35.5513,35.154,6.7,2.3
2024.03.30,04:50:09.92,35.5915,35.2627,4.8,2.9
2024.03.30,04:39:14.06,35.7593,35.1312,5.0,2.3
2024.03.30,04:24:02.14,37.049,29.023,17.8,1.3
2024.03.30,04:04:27.38,37.9187,27.1045,11.5,1.5
2024.03.30,03:33:44.28,38.0593,39.2725,5.4,2.3
2024.03.30,02:59:07.12,38.0863,38.2155,8.8,1.2
2024.03.30,02:56:16.93,38.429,36.6943,8.5,2.1
2024.03.30,01:37:07.47,40.2785,27.0253,5.0,2.0
2024.03.30,01:27:20.98,38.5138,39.3553,8.9,2.2
2024.03.30,00:47:08.40,40.1947,31.7867,8.5,2.2
2024.03.30,00:43:06.67,38.1722,40.1057,8.8,1.9
2024.03.30,00:38:48.35,38.3928,40.2323,14.9,1.8
2024.03.30,00:34:03.68,38.5082,39.378,7.9,1.4
2024.03.30,00:25:03.23,38.4867,39.35,5.0,4.7
2024.03.30,00:15:22.50,37.8332,36.215,9.0,1.5
2024.03.29,23:40:05.53,36.447,36.09,7.0,1.3
2024.03.29,23:37:47.49,37.7007,29.1517,9.9,1.6
2024.03.29,23:29:44.01,38.2953,37.8268,8.3,1.9
2024.03.29,23:21:40.44,40.5547,34.7795,11.0,1.5
2024.03.29,23:19:50.40,37.5517,31.5012,7.6,2.0
2024.03.29,23:11:29.98,37.7908,36.511,12.1,1.4
2024.03.29,23:09:37.91,37.7425,36.4328,5.3,2.0
2024.03.29,22:51:29.26,38.0292,36.5515,8.9,1.6
2024.03.29,22:51:17.89,40.8385,28.1598,12.4,1.9
2024.03.29,22:22:54.42,36.0368,27.3377,3.7,1.8
2024.03.29,21:15:45.59,37.8397,36.52,4.8,1.5
2024.03.29,20:11:52.33,38.2983,38.1638,8.8,1.5
2024.03.29,20:06:18.97,38.0632,36.9053,5.3,3.6
2024.03.29,17:50:05.18,40.7933,31.1115,6.0,1.6
2024.03.29,17:27:39.47,38.507,42.2767,16.0,2.0
2024.03.29,16:57:10.32,37.0318,29.059,6.7,1.8
2024.03.29,16:42:27.44,36.1255,35.7643,6.8,1.6
2024.03.29,16:16:50.31,37.6298,35.8488,3.5,1.4
2024.03.29,16:13:11.18,36.0135,31.0057,10.1,2.2
2024.03.29,16:04:43.20,38.8525,43.0692,5.0,1.4
2024.03.29,15:59:06.07,35.2915,27.6492,11.1,2.6
2024.03.29,15:22:30.14,37.5745,26.7412,8.3,2.0
2024.03.29,14:51:43.01,36.5852,36.357,2.5,2.0
2024.03.29,13:24:57.17,35.2998,27.6755,14.9,2.6
2024.03.29,13:15:27.19,37.8995,29.1862,4.3,1.6
2024.03.29,13:05:00.66,37.0495,29.0285,5.3,2.3
2024.03.29,12:58:15.32,37.1843,36.9377,9.0,1.9
2024.03.29,12:45:47.56,37.6155,35.8052,14.3,1.5
2024.03.29,11:31:40.36,40.8663,41.7747,6.4,2.3
2024.03.29,10:44:42.30,40.205,31.2332,3.5,2.4
2024.03.29,10:08:42.16,37.1578,27.8645,0.0,1.9
2024.03.29,10:08:18.81,37.4935,37.0428,8.1,1.7
2024.03.29,09:03:31.82,38.153,38.6095,5.4,1.9
2024.03.29,08:56:07.69,38.144,37.7748,16.1,1.7
2024.03.29,08:51:53.90,35.3047,27.7052,8.1,2.1
2024.03.29,08:49:55.68,35.4302,27.5457,8.9,2.6
2024.03.29,08:13:16.45,38.7358,30.8338,16.7,1.8
2024.03.29,08:07:24.85,39.9943,33.2825,0.0,1.9
2024.03.29,07:30:57.24,40.0542,39.7892,5.4,2.1
2024.03.29,07:11:28.43,36.0778,27.3228,5.0,2.6
2024.03.29,07:09:45.59,38.274,37.9537,12.2,1.4
2024.03.29,06:55:51.88,40.8545,41.7957,9.7,2.7
2024.03.29,06:50:36.52,39.0973,27.5398,0.0,2.1
2024.03.29,06:22:20.78,36.7055,36.041,8.2,1.5
2024.03.29,05:48:44.12,37.8437,36.7367,8.3,1.5
2024.03.29,05:33:12.57,40.4207,28.8993,4.5,1.4
2024.03.29,05:03:59.49,40.3818,33.7328,7.5,1.9
2024.03.29,04:32:45.11,37.4723,36.8127,4.1,2.0
2024.03.29,04:17:54.98,37.036,29.028,3.2,1.9
2024.03.29,03:51:52.41,38.277,37.4513,8.4,1.4
2024.03.29,03:51:03.95,37.7957,36.167,16.4,1.4
2024.03.29,02:48:57.08,37.0508,29.0177,4.9,2.1
2024.03.29,02:16:22.61,38.4303,37.6327,4.8,1.6
2024.03.29,02:05:42.47,35.31,27.671,16.9,2.4
2024.03.29,01:33:57.83,40.2035,31.2493,5.0,3.1
2024.03.29,00:20:02.41,38.0457,37.4807,8.3,1.8
2024.03.29,00:17:57.62,37.5482,37.2577,5.0,1.5
2024.03.28,23:59:01.70,40.7707,42.405,6.9,1.9
2024.03.28,23:51:22.83,38.135,36.6142,16.4,1.3
2024.03.28,23:14:02.30,38.0605,37.2205,8.7,1.7
2024.03.28,23:09:09.93,38.7877,37.4043,19.0,1.1
2024.03.28,22:35:15.22,40.849,41.7652,6.2,2.7
2024.03.28,21:20:02.39,37.8755,36.6342,11.4,1.6
2024.03.28,21:00:15.26,38.2038,37.9282,8.3,1.6
2024.03.28,20:46:03.40,38.3613,27.1725,1.5,1.5
2024.03.28,20:01:28.91,38.0597,37.7552,5.0,2.7
2024.03.28,19:14:10.13,38.555,37.2795,3.5,1.7
2024.03.28,17:58:40.00,36.919,28.6237,8.9,1.5
2024.03.28,17:52:05.40,36.2997,29.2188,11.2,2.0
2024.03.28,17:34:19.16,38.7207,37.5508,5.0,1.5
2024.03.28,16:38:14.95,37.4238,37.159,5.3,1.5
2024.03.28,16:00:59.51,37.2033,36.7145,7.9,1.5
2024.03.28,15:19:23.08,37.4707,37.1858,4.0,1.7
2024.03.28,14:40:44.42,36.1143,33.5655,0.0,1.8
2024.03.28,14:22:40.83,38.604,37.3465,17.5,1.5
2024.03.28,14:21:29.01,39.1548,27.3823,9.5,2.0
2024.03.28,13:52:39.58,37.0572,37.0875,14.3,1.6
2024.03.28,13:46:08.79,40.3987,26.9255,12.7,1.7
2024.03.28,13:37:36.77,38.0755,37.1413,2.5,1.5
2024.03.28,13:34:22.82,39.9602,39.1728,7.9,2.1
2024.03.28,13:15:27.02,37.9685,28.034,12.1,1.1
2024.03.28,12:12:58.79,38.7523,37.2918,16.1,1.3
2024.03.28,12:02:20.46,37.2923,26.927,7.7,2.6
2024.03.28,11:46:52.71,38.3662,37.4708,4.7,1.7
2024.03.28,11:43:45.98,37.0342,29.0443,7.7,1.9
2024.03.28,11:05:54.49,38.5688,37.6522,23.3,1.2
2024.03.28,10:36:00.28,40.1785,31.719,7.2,2.6
2024.03.28,10:15:24.95,36.1503,35.8777,11.5,2.1
2024.03.28,10:10:29.91,36.1277,35.8718,22.7,1.5
2024.03.28,10:06:47.30,37.3803,36.9115,7.3,2.6
2024.03.28,10:00:01.19,40.3593,28.9913,13.1,1.4
2024.03.28,09:45:05.04,38.8738,37.4048,5.0,1.6
2024.03.28,09:19:18.71,37.0478,28.8773,25.1,1.7
2024.03.28,09:18:32.80,39.7147,28.9253,0.0,1.8
2024.03.28,09:11:11.45,38.1713,36.7112,10.3,1.8
2024.03.28,08:53:58.34,38.3782,28.3848,4.6,1.9
2024.03.28,08:52:59.40,38.0565,32.43,0.0,1.3
2024.03.28,08:52:57.29,38.4048,28.3815,5.3,1.6
2024.03.28,08:37:20.63,38.411,39.9675,5.0,2.4
2024.03.28,08:16:12.48,37.0483,29.0462,6.9,2.2
2024.03.28,08:11:00.47,38.2892,37.364,10.2,1.7
2024.03.28,07:59:52.80,38.1005,37.6238,24.9,1.9
2024.03.28,07:48:26.31,37.3082,30.481,92.4,2.1
2024.03.28,07:34:32.12,40.3213,41.4462,19.3,1.8
2024.03.28,07:33:42.92,36.915,29.051,19.2,1.3
2024.03.28,07:13:39.09,37.152,37.2332,5.0,1.5
2024.03.28,06:00:37.92,39.1325,27.5433,0.0,2.1
2024.03.28,04:33:15.87,38.1277,37.1662,1.6,1.4
2024.03.28,04:08:36.05,38.311,38.2417,9.7,1.7
2024.03.28,04:06:28.31,38.3542,37.4227,2.0,2.5
2024.03.28,03:53:21.99,37.0052,29.0728,25.4,1.6
2024.03.28,03:36:01.94,38.0308,37.344,5.4,1.3
2024.03.28,03:21:20.97,37.0555,29.0215,11.1,1.3
2024.03.28,03:18:08.07,38.6487,37.2982,3.8,1.3
2024.03.28,03:01:04.24,37.7595,36.1038,5.0,2.8
2024.03.28,02:20:24.71,40.3495,43.3012,5.0,2.5
2024.03.28,02:17:09.83,37.0693,29.0108,5.0,2.7
2024.03.28,02:15:37.43,38.33,38.2765,7.9,1.4
2024.03.28,02:15:21.22,37.9043,36.4378,12.7,1.8
2024.03.28,01:41:01.56,38.234,32.4057,5.7,2.3
2024.03.28,01:34:34.31,37.0733,29.009,5.0,1.0
2024.03.28,01:06:46.99,40.3243,27.6487,10.7,2.6
2024.03.28,00:50:03.46,36.655,36.3767,5.0,1.5
2024.03.28,00:50:02.88,37.048,29.0198,5.3,2.3
2024.03.28,00:46:14.39,38.4642,37.3242,5.0,2.6
2024.03.28,00:45:06.17,38.136,36.8595,3.1,2.2
2024.03.28,00:36:25.06,38.1113,38.4143,6.8,2.1
2024.03.28,00:17:48.46,37.2533,26.8718,5.0,2.2
2024.03.28,00:12:49.88,38.6008,37.2823,5.2,1.0
2024.03.28,00:06:47.18,36.4115,39.3122,5.0,2.5
2024.03.28,00:02:43.76,38.1468,36.7308,7.0,2.4
2024.03.27,22:37:42.60,38.3813,37.1652,20.7,1.1
2024.03.27,21:50:27.75,38.5212,39.5252,9.7,2.5
2024.03.27,20:51:10.06,39.8597,39.1192,9.3,1.8
2024.03.27,20:23:09.02,36.8392,36.4877,7.2,1.5
2024.03.27,20:19:29.39,38.083,36.963,6.4,1.8
2024.03.27,20:11:22.26,36.9535,27.372,6.3,1.9
2024.03.27,20:09:31.75,37.8318,26.9527,8.8,3.2
2024.03.27,19:59:08.50,38.2333,36.3822,2.7,1.7
2024.03.27,19:49:11.19,37.8455,26.9087,5.0,2.7
2024.03.27,19:13:59.23,38.0058,36.1197,5.0,1.4
2024.03.27,18:40:47.54,38.453,40.3952,7.8,1.8
2024.03.27,17:28:27.95,37.321,36.4602,5.4,1.4
2024.03.27,17:22:19.98,37.3037,44.1625,5.5,2.2
2024.03.27,17:07:43.76,37.8778,26.9383,7.7,2.1
2024.03.27,16:54:26.97,39.1062,40.8373,8.9,2.0
2024.03.27,16:23:02.70,40.1945,31.7385,7.8,2.3
2024.03.27,16:22:52.98,39.167,29.405,8.8,1.7
2024.03.27,16:20:02.79,37.2607,37.0648,6.1,1.3
2024.03.27,16:15:19.82,36.5863,36.5498,6.7,1.4
2024.03.27,16:13:36.65,38.3538,37.4188,7.2,2.1
2024.03.27,15:49:17.86,38.07,37.6722,5.0,2.7
2024.03.27,15:37:17.23,38.791,37.4847,5.5,1.1
2024.03.27,15:13:19.88,37.3305,36.5165,4.1,1.5
2024.03.27,15:08:30.37,40.2935,29.007,10.7,2.0
2024.03.27,14:56:56.81,37.2947,36.813,5.4,1.5
2024.03.27,14:43:19.97,37.8028,36.2582,26.6,1.3
2024.03.27,14:24:33.76,38.3372,38.199,5.2,1.7
2024.03.27,14:22:24.53,38.2718,37.3447,7.8,1.7
2024.03.27,14:16:31.01,38.2305,37.423,10.3,2.1
2024.03.27,14:13:21.71,38.4135,37.382,2.3,1.6
2024.03.27,14:00:25.35,37.0513,29.0365,5.4,2.5
2024.03.27,13:54:50.09,38.8395,37.46,5.0,1.6
2024.03.27,12:58:31.32,37.9133,36.2447,22.9,1.7
2024.03.27,12:41:20.59,37.31,37.054,5.5,1.9
2024.03.27,12:09:20.81,38.3075,38.7822,4.2,2.3
2024.03.27,11:34:38.05,38.1405,32.1913,0.0,1.6
2024.03.27,11:16:28.88,37.3395,28.8505,18.0,1.4
2024.03.27,11:08:42.79,38.1548,37.289,22.2,1.9
2024.03.27,11:02:41.24,35.9883,29.9347,19.1,2.1
2024.03.27,10:59:32.30,38.52,38.3875,5.6,1.7
2024.03.27,10:20:58.52,38.365,38.7668,5.0,3.4
2024.03.27,09:55:09.31,39.5787,28.7887,5.0,1.6
2024.03.27,09:51:19.55,37.9357,36.4198,12.2,1.5
2024.03.27,09:17:44.13,39.921,32.6567,5.8,2.8
2024.03.27,09:13:19.26,37.8642,36.141,5.5,1.7
2024.03.27,09:02:21.74,36.3822,33.7917,0.0,1.3
2024.03.27,08:58:12.59,38.4573,37.736,8.6,2.0
2024.03.27,08:29:00.80,38.3523,27.2538,13.2,1.3
2024.03.27,08:02:59.07,38.369,27.3342,15.8,1.4
2024.03.27,07:47:44.48,40.318,28.9095,17.3,1.6
2024.03.27,07:44:49.03,38.4423,37.6017,9.4,1.4
2024.03.27,07:29:18.44,40.688,29.186,9.1,2.3
2024.03.27,07:21:35.16,40.2962,29.0082,9.1,3.4
2024.03.27,06:52:10.49,38.1845,32.7552,15.8,1.4
2024.03.27,06:14:59.59,37.9863,36.3043,5.4,2.7
2024.03.27,05:57:36.44,38.0018,36.6348,7.3,1.5
2024.03.27,05:52:13.93,39.6557,28.773,1.8,2.3
2024.03.27,03:44:53.14,37.959,36.3075,4.6,2.2
2024.03.27,02:46:26.92,37.3418,36.8988,13.4,1.6
2024.03.27,02:27:30.06,38.8022,37.4888,5.0,1.4
2024.03.27,02:11:21.95,38.503,37.5043,15.9,1.3
2024.03.27,01:02:16.13,38.5215,37.31,16.9,1.8
2024.03.27,00:48:15.49,38.214,38.5963,5.6,2.1
2024.03.26,23:35:55.63,35.9792,27.4558,5.4,2.4
2024.03.26,23:00:48.26,38.2703,37.7328,8.7,1.9
2024.03.26,22:54:43.38,38.815,37.457,5.9,1.9
2024.03.26,22:53:41.05,37.0643,36.08,8.6,2.1
2024.03.26,22:43:39.31,37.8962,36.702,13.0,1.3
2024.03.26,21:13:24.53,38.7133,37.3548,7.2,1.3
2024.03.26,21:04:18.39,38.2842,37.4328,19.0,1.4
2024.03.26,20:55:02.09,38.495,39.3928,6.4,1.7
2024.03.26,20:39:50.85,38.0935,38.3677,4.7,2.0
2024.03.26,20:32:58.87,35.9972,27.5118,6.6,2.4
2024.03.26,20:17:04.12,39.6033,38.6492,24.6,1.7
2024.03.26,20:03:06.46,37.878,36.2833,4.8,1.5
2024.03.26,19:42:05.36,36.1457,27.5715,5.0,1.3
2024.03.26,19:32:35.27,36.2205,27.698,11.3,1.2
2024.03.26,19:22:59.19,36.2368,27.6115,6.2,1.8
2024.03.26,18:53:16.65,40.6132,27.5645,4.9,1.0
2024.03.26,18:22:04.37,36.3292,36.0575,4.0,1.9
2024.03.26,17:52:48.72,37.0697,29.0682,2.5,1.4
2024.03.26,17:07:38.26,38.0228,37.612,7.7,2.0
2024.03.26,17:00:21.32,36.0218,27.4877,4.9,1.7
2024.03.26,16:36:22.71,37.0632,29.0318,8.9,1.6
2024.03.26,16:19:51.34,37.8985,36.7143,14.8,2.3
2024.03.26,15:37:41.43,36.5838,36.4523,7.9,2.1
2024.03.26,15:30:29.54,40.6442,34.696,13.5,1.7
2024.03.26,15:29:38.64,36.0207,27.4707,1.8,2.3
2024.03.26,14:27:57.68,37.734,37.2023,28.3,1.6
2024.03.26,14:15:43.47,36.9118,27.327,9.2,2.6
2024.03.26,14:11:57.97,37.055,29.0237,5.0,2.3
2024.03.26,13:59:06.36,39.4347,41.1095,4.7,2.9
2024.03.26,13:53:12.84,38.0843,37.1347,5.4,1.5
2024.03.26,13:44:19.23,37.3307,26.9335,21.2,2.0
2024.03.26,13:05:11.99,38.5497,37.2793,8.1,2.4
2024.03.26,12:56:13.69,35.8953,29.9992,21.5,2.3
2024.03.26,12:49:12.52,36.2208,36.0582,24.5,2.0
2024.03.26,12:12:20.13,39.5348,29.056,28.5,1.3
2024.03.26,11:55:56.14,40.8965,32.4717,4.5,2.1
2024.03.26,11:11:15.12,38.301,37.4045,11.7,1.6
2024.03.26,10:52:36.21,37.02,35.8635,14.2,1.8
2024.03.26,10:48:29.91,37.1085,28.9975,4.7,1.9
2024.03.26,10:46:33.81,37.1278,29.1453,4.8,1.9
2024.03.26,10:42:50.83,36.7395,29.7758,16.1,1.6
2024.03.26,10:39:37.61,38.5703,27.2203,15.6,1.1
2024.03.26,10:31:34.88,38.4772,39.283,5.4,2.2
2024.03.26,10:27:59.01,37.0538,29.0023,2.6,2.9
2024.03.26,10:21:57.13,37.1487,28.3667,9.5,2.1
2024.03.26,10:08:30.13,37.3047,37.148,9.6,1.3
2024.03.26,10:08:12.38,41.0723,29.8452,0.0,1.8
2024.03.26,10:06:31.58,39.6735,28.737,24.4,1.5
2024.03.26,09:59:30.46,40.4967,30.6187,0.0,1.9
2024.03.26,09:53:28.16,40.2012,30.8792,8.1,1.9
2024.03.26,09:48:39.34,38.3377,42.0427,20.0,2.3
2024.03.26,09:46:57.70,40.4637,29.9678,5.1,1.5
2024.03.26,09:37:14.85,36.3012,33.7078,9.8,1.1
2024.03.26,09:26:52.42,37.8473,33.8117,5.0,2.0
2024.03.26,09:02:06.34,37.87,36.2693,1.7,3.3
2024.03.26,08:52:32.01,39.9037,30.6337,0.0,1.8
2024.03.26,08:44:03.72,37.1947,37.1998,5.0,1.5
2024.03.26,08:13:23.74,39.4015,26.3487,13.0,1.5
2024.03.26,07:49:14.11,40.7492,26.914,5.2,1.6
2024.03.26,07:44:45.19,39.0892,27.5572,0.0,2.1
2024.03.26,07:35:05.90,38.5978,37.6707,16.3,1.8
2024.03.26,07:11:24.76,37.5918,36.234,19.8,1.3
2024.03.26,07:06:12.86,38.0713,36.6307,9.2,1.4
2024.03.26,06:54:31.13,39.1653,40.0435,5.0,2.2
2024.03.26,06:52:14.32,39.0855,27.5545,0.0,1.2
2024.03.26,06:47:51.58,38.4448,39.4703,9.0,2.0
2024.03.26,06:38:33.86,37.5125,28.676,13.8,1.7
2024.03.26,06:32:07.82,37.1538,28.1052,10.4,1.4
2024.03.26,06:30:16.73,37.244,28.1492,0.0,2.0
2024.03.26,05:51:07.70,40.4455,29.0057,5.0,1.6
2024.03.26,04:53:17.44,37.1762,28.5353,9.7,2.1
2024.03.26,04:02:40.83,37.9725,27.1057,7.5,2.4
2024.03.26,03:28:46.81,37.2275,28.1815,12.9,1.5
2024.03.26,02:59:06.54,38.3135,39.334,13.5,1.9
2024.03.26,02:52:40.91,37.1998,28.1417,13.1,1.9
2024.03.26,02:21:08.66,37.9685,27.1933,4.4,1.7
2024.03.26,01:58:22.75,38.163,41.417,10.4,1.7
2024.03.26,01:38:56.67,37.072,29.0222,6.3,1.7
2024.03.26,01:04:19.31,37.0597,29.0033,3.8,2.4
2024.03.26,00:44:22.37,37.4592,36.1662,14.1,1.1
2024.03.26,00:38:06.80,36.4737,28.8175,30.5,1.2
2024.03.26,00:35:30.84,37.9378,37.5677,14.6,1.6
2024.03.25,23:51:19.73,37.184,28.334,10.8,2.1
2024.03.25,23:19:23.91,38.5907,37.3548,7.7,1.8
2024.03.25,23:08:48.09,38.3648,39.1305,7.8,1.9
2024.03.25,22:45:19.18,38.7075,43.6477,6.2,2.3
2024.03.25,22:23:44.95,37.1288,36.073,10.1,1.4
2024.03.25,21:45:30.12,37.1827,28.372,4.5,1.2
2024.03.25,21:12:16.49,37.8377,36.2547,7.1,1.2
